,inlf,hours,kidslt6,kidsge6,age,educ,wage,repwage,hushrs,husage,huseduc,huswage,faminc,mtr,motheduc,fatheduc,unem,city,exper,nwifeinc,lwage,expersq
0,1.0,1610.0,1.0,0.0,32.0,12.0,3.3539999999999996,2.65,2708.0,34.0,12.0,4.0288,16310.0,0.7215,12.0,7.0,5.0,0.0,14.0,10.910060000000001,1.210154,196.0
1,1.0,1656.0,0.0,2.0,30.0,12.0,1.3889,2.65,2310.0,30.0,9.0,8.4416,21800.0,0.6615,7.0,7.0,11.0,1.0,5.0,19.499979999999997,0.3285121,25.0
2,1.0,1980.0,1.0,3.0,35.0,12.0,4.5455,4.04,3072.0,40.0,12.0,3.5807,21040.0,0.6915,12.0,7.0,5.0,0.0,15.0,12.03991,1.514138,225.0
3,1.0,456.0,0.0,3.0,34.0,12.0,1.0965,3.25,1920.0,53.0,10.0,3.5417,7300.0,0.7815,7.0,7.0,5.0,0.0,6.0,6.799996000000001,0.0921233,36.0
4,1.0,1568.0,1.0,2.0,31.0,14.0,4.5918,3.6,2000.0,32.0,12.0,10.0,27300.0,0.6215,12.0,14.0,9.5,1.0,7.0,20.10006,1.524272,49.0
5,1.0,2032.0,0.0,0.0,54.0,12.0,4.7421,4.7,1040.0,57.0,11.0,6.7106,19495.0,0.6915,14.0,7.0,7.5,1.0,33.0,9.859053999999999,1.55648,1089.0
6,1.0,1440.0,0.0,2.0,37.0,16.0,8.3333,5.95,2670.0,37.0,12.0,3.4277,21152.0,0.6915,14.0,7.0,5.0,0.0,11.0,9.152047999999999,2.12026,121.0
7,1.0,1020.0,0.0,0.0,54.0,12.0,7.8431,9.98,4120.0,53.0,8.0,2.5485,18900.0,0.6915,3.0,3.0,5.0,0.0,35.0,10.900039999999999,2.059634,1225.0
8,1.0,1458.0,0.0,2.0,48.0,12.0,2.1262,0.0,1995.0,52.0,4.0,4.2206,20405.0,0.7515,7.0,7.0,3.0,0.0,24.0,17.305,0.7543364,576.0
9,1.0,1600.0,0.0,2.0,39.0,12.0,4.6875,4.15,2100.0,43.0,12.0,5.7143,20425.0,0.6915,7.0,7.0,5.0,0.0,21.0,12.925,1.544899,441.0
10,1.0,1969.0,0.0,1.0,33.0,12.0,4.063,4.3,2450.0,34.0,12.0,9.7959,32300.0,0.5815,12.0,3.0,5.0,0.0,15.0,24.29995,1.401922,225.0
11,1.0,1960.0,0.0,1.0,42.0,11.0,4.5918,4.58,2375.0,47.0,14.0,8.0,28700.0,0.6215,14.0,7.0,5.0,0.0,14.0,19.70007,1.524272,196.0
12,1.0,240.0,1.0,2.0,30.0,12.0,2.0833,0.0,2830.0,33.0,16.0,5.3004,15500.0,0.7215,16.0,16.0,5.0,0.0,0.0,15.000010000000001,0.7339532,0.0
13,1.0,997.0,0.0,2.0,43.0,12.0,2.2668,3.5,3317.0,46.0,12.0,4.3413,16860.0,0.7215,10.0,10.0,7.5,1.0,14.0,14.6,0.8183691,196.0
14,1.0,1848.0,0.0,1.0,43.0,10.0,3.6797,3.38,2024.0,45.0,17.0,10.87,31431.0,0.5815,7.0,7.0,7.5,1.0,6.0,24.63091,1.302831,36.0
15,1.0,1224.0,0.0,3.0,35.0,11.0,1.3472,0.0,1694.0,38.0,12.0,9.1499,19180.0,0.7215,16.0,10.0,7.5,1.0,9.0,17.531029999999998,0.2980284,81.0
